SRR5817693,47,7
SRX2526900,65,8
SRX2526901,62,7
SRX2526902,25,6
SRX2526903,26,5
SRX2526904,61,7
SRX2526905,64,8
SRX2526906,61,7
SRX2526907,65,8
SRX2526908,22,4
SRX2526909,24,6
SRX2526910,24,6
SRX2526911,59,8
SRX2526912,24,6
SRX2526913,63,7
SRX2526914,23,6
SRX2526915,66,8
SRX2526916,27,6
SRX2526917,24,5
SRX2526918,67,7
SRX2526919,28,4
SRX2526920,54,8
SRX2526921,47,7
SRX2526922,65,7
SRX2526923,25,5
SRX2526924,65,7
SRX2526925,25,5
SRX2526926,59,9
SRX2526927,66,8
SRX2526928,25,5
SRX2526929,47,7
SRX2526930,23,6
SRX2526931,25,6
SRX2526932,65,8
SRX2526933,60,7
SRX2526934,25,4
SRX2526935,65,7
SRX2526936,62,7
SRX2526937,22,5
SRX2526938,69,9
SRX2526939,64,9
SRX2526940,62,7
SRX2526941,62,7
SRX2526942,61,8
SRX2526943,67,8
SRX2526944,53,8
SRX2526945,60,7
SRX2526946,25,5
SRX2526947,61,7
SRX2526948,65,8
SRX2526949,64,8
SRX2526950,25,5
SRX2526951,26,4
SRX2526952,24,5
SRX2526953,24,6
SRX2526954,27,5
SRX2526955,63,8
SRX2526956,62,7
SRX2526957,62,8
SRX2526958,25,5
SRX2526959,65,8
SRX2526960,68,9
SRX2526961,28,5
SRX2526962,66,7
SRX2526963,62,9
SRX2526964,62,7
SRX2526965,65,7
SRX2526966,68,8
SRX2526967,68,9
SRX2526968,41,7
SRX2526969,27,5
SRX2526970,60,9
SRX2526971,64,7
SRX2526972,68,7
SRX2526973,24,4
SRX2526974,28,5
SRX2526975,70,8
SRX2526976,51,7
SRX2526977,65,7
SRX2526978,60,7
SRX2526980,67,8
SRX2526981,64,8
SRX2526982,26,5
SRX2526983,24,5
SRX2526984,25,4
SRX2526985,63,8
SRX2526986,62,7
SRX2526987,60,8
SRX2526988,57,8
SRX2526989,22,5
SRX2526990,60,7
SRX2526991,61,7
SRX2526992,65,8
SRX2526993,25,5
SRX2526994,57,9
SRX2526995,64,7
SRX2526996,61,8
SRX2526997,26,5
SRX2526998,25,5
SRX2526999,64,8
SRX2527000,64,7
SRX2527001,67,8
SRX2527002,72,9
SRX2527003,28,6
SRX2527004,25,6
SRX2527005,25,6
SRX2527006,24,6
SRX2527007,64,7
SRX2527008,25,5
SRX2527009,23,4
SRX2527010,56,8
SRX2527011,67,7
SRX2527012,27,6
SRX2527013,62,8
SRX2527014,64,9
SRX2527015,23,5
SRX2527016,66,9
SRX2527017,62,7
SRX2527018,62,7
SRX2527019,45,6
SRX2527020,55,9
SRX2527021,65,9
SRX2527022,61,8
SRX2527023,63,7
SRX2527024,61,7
SRX2527025,69,7
SRX2527026,63,9
SRX2527027,68,7
SRX2527028,24,6
SRX2527029,66,9
