SRR5817693,515,74
SRX2526900,517,65
SRX2526901,555,62
SRX2526902,198,26
SRX2526903,198,30
SRX2526904,519,68
SRX2526905,571,72
SRX2526906,518,68
SRX2526907,536,68
SRX2526908,198,28
SRX2526909,191,25
SRX2526910,197,27
SRX2526911,513,67
SRX2526912,207,29
SRX2526913,550,70
SRX2526914,201,30
SRX2526915,551,65
SRX2526916,174,26
SRX2526917,202,24
SRX2526918,546,72
SRX2526919,188,24
SRX2526920,505,66
SRX2526921,353,44
SRX2526922,549,68
SRX2526923,201,24
SRX2526924,551,71
SRX2526925,195,25
SRX2526926,553,68
SRX2526927,521,69
SRX2526928,199,24
SRX2526929,366,45
SRX2526930,191,28
SRX2526931,192,28
SRX2526932,537,66
SRX2526933,555,71
SRX2526934,191,26
SRX2526935,545,65
SRX2526936,522,69
SRX2526937,198,29
SRX2526938,541,74
SRX2526939,532,67
SRX2526940,540,72
SRX2526941,555,64
SRX2526942,535,71
SRX2526943,553,64
SRX2526944,503,69
SRX2526945,519,69
SRX2526946,200,25
SRX2526947,578,75
SRX2526948,552,66
SRX2526949,553,70
SRX2526950,208,31
SRX2526951,183,25
SRX2526952,193,25
SRX2526953,182,25
SRX2526954,215,26
SRX2526955,511,67
SRX2526956,479,67
SRX2526957,546,68
SRX2526958,213,25
SRX2526959,534,72
SRX2526960,519,73
SRX2526961,208,24
SRX2526962,556,68
SRX2526963,510,63
SRX2526964,578,65
SRX2526965,543,69
SRX2526966,542,69
SRX2526967,542,69
SRX2526968,358,44
SRX2526969,195,26
SRX2526970,569,68
SRX2526971,541,67
SRX2526972,569,68
SRX2526973,211,28
SRX2526974,208,26
SRX2526975,533,69
SRX2526976,497,66
SRX2526977,543,66
SRX2526978,555,62
SRX2526980,587,72
SRX2526981,563,68
SRX2526982,200,26
SRX2526983,200,26
SRX2526984,188,25
SRX2526985,504,62
SRX2526986,509,68
SRX2526987,508,67
SRX2526988,495,69
SRX2526989,192,28
SRX2526990,530,64
SRX2526991,548,61
SRX2526992,547,68
SRX2526993,197,25
SRX2526994,500,67
SRX2526995,507,67
SRX2526996,542,67
SRX2526997,200,25
SRX2526998,205,24
SRX2526999,487,68
SRX2527000,544,68
SRX2527001,556,69
SRX2527002,530,71
SRX2527003,198,25
SRX2527004,193,26
SRX2527005,188,25
SRX2527006,199,28
SRX2527007,545,64
SRX2527008,206,25
SRX2527009,197,29
SRX2527010,503,65
SRX2527011,555,69
SRX2527012,205,28
SRX2527013,551,71
SRX2527014,545,67
SRX2527015,216,27
SRX2527016,495,69
SRX2527017,567,69
SRX2527018,553,69
SRX2527019,361,47
SRX2527020,515,66
SRX2527021,550,66
SRX2527022,549,62
SRX2527023,501,67
SRX2527024,546,63
SRX2527025,550,75
SRX2527026,549,66
SRX2527027,553,71
SRX2527028,196,26
SRX2527029,494,71
SRX2527030,550,67
SRX2527031,198,26
SRX2527032,513,67
SRX2527033,536,65
SRX2527034,552,67
SRX2527035,199,24
SRX2527036,576,70
SRX2527037,540,65
SRX2527038,568,67
SRX2527039,195,25
SRX2527040,194,25
SRX2527041,586,69
SRX2527042,514,70
SRX2527043,544,68
SRX2527044,211,25
SRX2527045,179,23
SRX2527046,550,67
SRX2527047,545,69
SRX2527048,192,27
SRX2527049,194,26
SRX2527050,194,25
SRX2527051,350,43
SRX2527052,553,68
SRX2527053,545,70
SRX2527054,547,66
SRX2527055,192,30
SRX2527056,199,32
SRX2527057,212,25
SRX2527058,541,65
SRX2527059,553,68
SRX2527060,372,43
SRX2527061,569,70
SRX2527062,546,68
SRX2527063,193,25
SRX2527064,208,28
SRX2527065,354,46
SRX2527066,521,69
SRX2527067,566,69
SRX2527068,550,64
SRX2527069,552,66
SRX2527070,510,66
SRX2527071,183,27
SRX2527072,545,69
SRX2527073,219,26
SRX2527074,208,25
SRX2527075,217,25
SRX2527076,520,69
SRX2527077,475,68
SRX2527078,534,68
SRX2527079,571,65
SRX2527080,536,72
SRX2527081,566,73
SRX2527082,541,67
SRX2527083,569,71
SRX2527084,545,69
SRX2527085,549,65
SRX2527086,211,25
SRX2527087,496,67
SRX2527088,543,70
SRX2527089,545,68
SRX2527090,208,26
SRX2527091,206,24
SRX2527092,195,26
SRX2527093,547,66
SRX2527094,202,28
SRX2527095,544,67
SRX2527096,565,67
SRX2527097,218,25
SRX2527098,482,64
SRX2527099,195,25
SRX2527100,559,66
SRX2527101,190,26
SRX2527102,190,23
SRX2527103,207,29
SRX2527104,219,26
SRX2527105,528,68
SRX2527106,525,69
SRX2527107,513,70
SRX2527108,546,69
SRX2527109,571,72
SRX2527110,549,65
SRX2527111,515,64
SRX2527112,564,66
SRX2527113,202,28
SRX2527114,549,71
SRX2527115,564,72
SRX2527116,190,26
SRX2527118,198,25
SRX2527119,201,28
SRX2527120,359,44
SRX2527121,191,27
SRX2527122,187,27
SRX2527123,192,26
SRX2527124,539,63
SRX2527125,516,69
SRX2527126,196,28
SRX2527127,546,71
SRX2527128,558,69
SRX2527129,560,67
SRX2527130,500,65
SRX2527132,565,71
SRX2527133,192,28
SRX2527134,505,68
SRX2527135,568,73
SRX2527136,196,27
SRX2527137,561,71
SRX2527138,198,28
SRX2527139,563,64
SRX2527140,494,67
SRX2527141,538,68
SRX2527142,508,65
SRX2527143,525,76
SRX2527144,556,62
SRX2527145,504,68
SRX2527146,543,68
SRX2527147,355,45
SRX2527148,545,68
SRX2527149,545,66
SRX2527150,199,25
SRX2527151,194,25
SRX2527152,501,69
